PMID,Abstract,Status
1287232,"The clinical outcome for 1362 patients with active cancer managed on home parenteral nutrition (HPN) is compared with that of 122 patients with radiation enteritis (""cured"" cancer) and 416 patients with Crohn's disease. This longitudinal clinical information was reported to the North American Home Parenteral and Enteral Nutrition Registry (Oley Foundation/A.S.P.E.N. joint project) between 1985 and 1989. The data shows that the number of active cancer patients on this therapy is increasing 13% per year. The annual survival rate is 25% for patients with active cancer, as compared with 88% for patients with radiation enteritis and 95% for patients with Crohn's disease. Although 50% of all active cancer patients starting HPN are dead within 6 to 9 months, the prognosis is somewhat better in children, and 20% of these active cancer patients appear to do well, returning to full oral nutrition and experiencing complete rehabilitation. These are presumed to be patients with a potentially curable cancer requiring super-aggressive treatment, which causes temporary severe gastrointestinal dysfunction. Adult active cancer patients have the same rehospitalization rate for HPN complications (once per year) as radiation enteritis and Crohn's disease patients. However, their rehospitalization rate for non-HPN complications is four times higher. This article reviews the factors that may explain the growth of HPN in active cancer patients and discusses some of the unanswered clinical questions that urgently need to be addressed to more effectively determine the appropriateness or inappropriateness of HPN management in the active cancer setting.",valid
19009585,"Pharmacokinetics and pharmacodynamics data are often analysed by mixed-effects modelling techniques (also known as population analysis), which has become a standard tool in the pharmaceutical industries for drug development. The last 10 years has witnessed considerable interest in the application of experimental design theories to population pharmacokinetic and pharmacodynamic experiments. Design of population pharmacokinetic experiments involves selection and a careful balance of a number of design factors. Optimal design theory uses prior information about the model and parameter estimates to optimize a function of the Fisher information matrix to obtain the best combination of the design factors. This paper provides a review of the different approaches that have been described in the literature for optimal design of population pharmacokinetic and pharmacodynamic experiments. It describes options that are available and highlights some of the issues that could be of concern as regards practical application. It also discusses areas of application of optimal design theories in clinical pharmacology experiments. It is expected that as the awareness about the benefits of this approach increases, more people will embrace it and ultimately will lead to more efficient population pharmacokinetic and pharmacodynamic experiments and can also help to reduce both cost and time during drug development.",valid
31419661,"Microplastic pollution in the environment has received growing attention worldwide. A major impediment for accurate measurements of microplastics in environmental matrixes is to extract the particles. The most commonly-used method for separation from soil or sediment is flotation in dense liquid based on the relatively low density of plastic particles. This study provides an improved and optimized process for extraction of microplastic particles by modifying the floatation technique and floatation solution. Microplastics in soils and sediments are extracted by adding 200 g dry soil or sediment sample to 1.3 L mix of the saturated NaCl and NaI solutions in a volume ratio of 1:1 and aerating for 40 s then filtering the supernatant. The accuracy and precision of the new approach is validated by recovery experiments using soil and sediment samples spiked with six common microplastic compounds: polyethylene (PE), polyethylene terephthalate (PET), polypropylene (PP), polyvinyl chloride (PVC), polystyrene (PS) and expanded polystyrene (EPS), and comparison with the previous method. The optimized approach is further compared with the previous approach using the real soil and sediment samples.",valid
20443463,"In highly-conformal radiotherapy, due to the complexity of both beam configurations and dose distributions, traditional in vivo dosimetry is unpractical or even impossible. The ideal dosimeter would be implanted inside the planning treatment volume so that it can directly measure the total delivered dose during each fraction with no additional uncertainty due to calculation models. The aim of this work is to verify if implantable metal oxide semiconductors field effect transistors (MOSFETs) can achieve a sufficient degree of dosimetric accuracy when used inside extracranial targets undergoing radiotherapy treatments using the Cyberknife system. Based on the preliminary findings of this study, new prototypes for high dose fractionations were developed to reduce the time dependence for long treatment delivery times. These dosimeters were recently cleared and are marketed as DVS-HFT. Multiple measurements were performed using both Virtual Water and water phantoms to characterize implantable MOSFETs under the Cyberknife beams, and included the reference-dosimetry consistency, the dependence of the response on the collimator size, on the daily delivered dose, and the time irradiation modality. Finally a Cyberknife prostate treatment simulation using a body phantom was conducted, and both MOSFET and ionization readings were compared to Monte Carlo calculations. The feasibility analysis was conducted based on the ratios of the absorbed dose divided by the dose reading, named as ""further calibration factor"" (FCF). The average FCFs resulted to be 0.98 for the collimator dependence test, and about 1.00 for the reference-dosimetry test, the dose-dependence test, and the time-dependence test. The average FCF of the prostate treatment simulation test was 0.99. The obtained results are well within DVS specifications, that is, the factory calibration is still valid for such kind of treatments using the Cyberknife system, with no need of further calibration factors to be applied. The final accuracy of implantable MOSFETs when used for such kind of treatments was estimated to be within +/- 4%. Additional investigations using dose/fraction higher than 12 Gy, different beam configurations, and tracking systems could extend the present findings to other kind of treatments. MOSFET technology was proven to have high versatility in fast adaptation of existing detectors to new applications. It is plausible to expect a general feasibility of implantable MOSFET technology for in vivo dosimetry of the extracranial-targets treatments using the Cyberknife, provided each particular application will be validated by suitable both physical and clinical studies.",valid
26438814,"Recent evolving trends in the United States legal system regarding how policies and laws are applied to pregnant women include concerns over the use of restraints or shackles in pregnant inmates and forced treatment or commitment of pregnant women for substance abuse. These topics raise many questions, such as: how violent are women, particularly pregnant women; what are the informed consent and treatment implications; and who is at risk of harm? In addition, questions have been raised regarding maternal versus fetal rights, especially when the mother uses substances during a pregnancy. We review legal decisions and organizational position statements and highlight ethics-related concerns.",valid
7364328,"A case of mallet finger in a child is described. The epiphysis of the terminal phalanx was displaced dorsally with the extensor tendon attached to it, and was first diagnosed two weeks after injury. The treatment was by open reduction. Radiograph three years later showed that a satisfactory position of the epiphysis and normal growth of the terminal phalanx had occurred.",valid
32343894,"The realization of self-assembled molecular-electronic films, whose room-temperature transport properties are controlled by quantum interference (QI), is an essential step in the scale-up of QI effects from single molecules to parallel arrays of molecules. Recently, the effect of",valid
37999442,"Table tennis is a sport played at a high speed; therefore, the technical-tactical variables are very important. The objective of the research is to analyze the technical and tactical characteristics of high-level TT players according to sex. A total of 48 high-level players (24 women and 24 men) participated in the present study. The investigation was carried out during two championships. The matches were recorded and subsequently analyzed by notational analysis. The results indicate that women stroke the ball more times during the rallies. In the men's competition, the forehand technique predominates over the backhand technique. The flip was the most used in the male sex (",valid
1592497,"A computerized system for neonatal case records has been used for the last four years at Kasturba Hospital. The software was developed in-house. The data base can be used to generate discharge summaries, neonatal statistics and epidemiological information. For a single patient, entry of data and printing of the discharge summary takes four to five minutes. Consolidated demographic and epidemiological statistics or selective clinical data for clinical research is easily retrievable. The system is efficient, accurate and easy to operate.",valid
12533810,"To assess the frequency of cytotrophoblastic cells in endocervical samples collected by lavage at early stages of gestation using a specific anti-HLA-G McAb (G233). From a set of four selected samples, cells identified by immunostaining were collected by laser microdissection and then tested by quantitative fluorescent polymerase chain reaction (QF-PCR) for the presence of paternally derived DNA markers, in order to establish their fetal origin. Syncytial fragments and cytotrophoblastic cells from 23 transcervical samples were identified by immunostaining with McAb G233 reacting against HLA-G antigen and with antibodies against cytokeratin. Slides from the same samples were also tested by fluorescent in situ hybridization (FISH), while selected samples were analysed by QF-PCR. Slides from four samples retrieved from mothers with male fetuses were immunolabelled and then cytotrophoblastic cells, syncytial fragments and maternal epithelial cells were collected by laser microdissection and tested by QF-PCR. All endocervical samples retrieved from mothers with male fetuses were found to contain some cells with chromosome Y-specific signals when tested by FISH. Using McAb anti- HLA-G, cytotrophoblastic cellular elements were detected in about 50% of the samples. From four samples, cellular elements identified by immunostaining as cytotrophoblast or syncytial fragments were collected by laser microdissection and shown to be of fetal origin when tested by QF-PCR for the presence of fetal DNA markers. These results confirm that, during an early phase of gestation, fetal cells are released in the lower uterine cavity and that they can be isolated and analysed for prenatal diagnosis of single gene defects and aneuploidies.",valid
11237372,"Little is known about the underlying dimensions of impaired recognition of emotional prosody that is frequently observed in patients with Parkinson's disease (PD). Because patients with PD also suffer from working memory deficits and impaired time perception, the present study examined the contribution of (a) working memory (frontal executive functioning) and (b) processing of the acoustic parameter speech rate to the perception of emotional prosody in PD. Two acoustic parameters known to be important for emotional classifications (speech duration and pitch variability) were systematically varied in prosodic utterances. Twenty patients with PD and 16 healthy controls (matched for age, sex, and IQ) participated in the study. The findings imply that (1) working memory dysfunctions and perception of emotional prosody are not independent in PD, (2) PD and healthy control subjects perceived vocal emotions categorically along two acoustic manipulation continua, and (3) patients with PD show impairments in processing of speech rate information.",valid
31544377,"To observe the clinical effect of warm acupuncture on endometrial cavity fluid (ECF) from in vitro fertilization-embryo transfer (IVF-ET), and to explore the mechanism of warm acupuncture on ECF. Twenty-nine patients who were prepared for IVF-ET from 2016 to 2019 and whose transplantation was cancelled due to ECF found by vaginal B-ultrasound examination were divided into an observation group (14 cases) and a control group (15 cases) according to random number table method. The warm acupuncture was applied at Zhongwan (CV 12), Qihai (CV 6), Guanyuan (CV 4), Zhongji (CV 3), Guilai (ST 29), Zigong (EX-CA 1), Zusanli (ST 36), Sanyinjiao (SP 6) after the end of menstruation in the observation group, the treatment lasted for 60 min, once a day, 5 times as a course, with 2 days interval between the courses and 3 consecutive courses of treatment were given, until the embryo transfer was performed in the IVF assisted pregnancy cycle. After the end of menstruation, fresh leonurus japonicus capsule was given in the control group, 3 times a day, 0.8 g each time, 7 days as a course, and 3 courses of continuous treatment were received, until the embryo transfer was performed in the IVF assisted pregnancy cycle. The changes of ECF before and after treatment, the time required to prepare for embryo transfer during IVF assisted pregnancy cycle, and the clinical outcome of embryo transfer were observed in the two groups. The decrease of ECF in the observation group was more significant than that in the control group ( Warm acupuncture may improve the clinical pregnancy rate by raising the local temperature of the lower abdomen, accelerating the blood circulation around the uterus and appendages, promoting the absorption of ECF, improving the uterine environment and endometrial receptivity.",valid
29262573,"In preclinical models, c-Met promotes survival of renal cancer cells through the regulation of programmed death-ligand 1 (PD-L1). However, this relationship in human clear cell renal cell carcinoma (ccRCC) is not well characterized. We evaluated c-Met expression in ccRCC patients using paired primary and metastatic samples and assessed the association with PD-L1 expression and other clinical features. Areas with predominant and highest Fuhrman nuclear grade (FNG) were selected. c-Met expression was evaluated by IHC using an anti-Met monoclonal antibody (MET4 Ab) and calculated by a combined score (CS, 0-300): intensity of c-Met staining (0-3) x % of positive cells (0-100). PD-L1 expression in tumor cells was previously assessed by IHC and PD-L1+ was defined as PD-L1 > 0% positive cells. Our cohort consisted of 45 pairs of primary and metastatic ccRCC samples. Overall, c-Met expression was higher in metastatic sites compared to primary sites (average c-Met CS: 55 vs. 28,",valid
24650871,"The terminology and classification scheme of acute pancreatitis proposed at the initial Atlanta Symposium was reviewed, and a new consensus statement was recently proposed. Major changes include subdividing acute fluid collections in the first 4 weeks into ""acute peripancreatic fluid collection"" and ""acute necrotic collection"" based on the presence of necrotic debris. Delayed fluid collections have been similarly subdivided into ""pseudocyst"" and ""walled-off necrosis."" Correct use of the new terms that describe these collections is important because they lead to different treatment decisions. The purpose of this article is to present an overview of fluid collections associated with acute pancreatitis, with an emphasis on their prognostic significance and impact on clinical management, and to illustrate the new terminology.",valid
30302835,"Tin and its derivatives have provoked tremendous progress of high-capacity sodium-ion anode materials. However, achieving high areal and volumetric capability with maintained long-term stability in a single electrode remains challenging. Here, an elegant and versatile strategy is developed to significantly extend the lifespan and rate capability of tin sulfide nanobelt electrodes while maintaining high areal and volumetric capacities. In this strategy, in situ bundles of robust hierarchical graphene (hG) are grown uniformly on tin sulfide nanobelt networks through a rapid (5 min) carbon-plasma method with sustainable oil as the carbon source and the partially reduced Sn as the catalyst. The nucleation of graphene, CN (with size N ranging from 1 to 24), on the Sn(111) surface is systematically explored using density functional theory calculations. It is demonstrated that this chemical-bonded hG strategy is powerful in enhancing overall electrochemical performance.",valid
25089515,"The rapid advance in three-dimensional (3D) confocal imaging technologies is rapidly increasing the availability of 3D cellular images. However, the lack of robust automated methods for the extraction of cell or organelle shapes from the images is hindering researchers ability to take full advantage of the increase in experimental output. The lack of appropriate methods is particularly significant when the density of the features of interest in high, such as in the developing eye of the fruit fly. Here, we present a novel and efficient nuclei segmentation algorithm based on the combination of graph cut and convex shape prior. The main characteristic of the algorithm is that it segments nuclei foreground using a graph cut algorithm and splits overlapping or touching cell nuclei by simple convex and concavity analysis, using a convex shape assumption for nuclei contour. We evaluate the performance of our method by applying it to a library of publicly-available two-dimensional (2D) images that were hand-labeled by experts. Our algorithm yields a substantial quantitative improvement over other methods for this benchmark. For example, our method achieves a decrease of 3.2 in the Hausdorff distance and an decrease of 1.8 per slice in the merged nuclei error.",valid
21989956,"A novel approach for the simulation of host-guest systems by systematically scanning the host molecule's orientations within the guest cavity is presented along with a thermodynamic strategy for determining preferential binding modes and corresponding optimal interaction energies between host and guest molecules. By way of example, the elution order of hexabromocyclododecane stereoisomers from high performance liquid chromatography separation on a permethylated β-cyclcodextrin stationary phase has been computed using classical molecular dynamics simulations with the explicit solvents water and acetonitrile. Comparison of estimated with experimental separation data reveals remarkable squared coefficients of correlation with R(2) = 0.87 and a very high correlation R(LOO2) = 0.72 using the leave-one-out cross-validation method and water as solvent. In particular, the approach presented shapes up as very robust in terms of the evaluated time range under consideration, reflecting well thermodynamic equilibria. These and further observations correlating with experimental results suggest the suitability of the underlying force fields and our multi-mode approach for the estimation of relative binding affinities for host-guest systems with unknown binding modes.",valid
23447448,"The sustainable production of industrial platform chemicals is one of the great challenges facing the biotechnology field. Ideally, fermentation feedstocks would rather rely on industrial waste streams than on food-based raw materials. Corynebacterium glutamicum was metabolically engineered to produce the bio-nylon precursor 1,5-diaminopentane from the hemicellulose sugar xylose. Comparison of a basic diaminopentane producer strain on xylose and glucose feedstocks revealed a 30% reduction in diaminopentane yield and productivity on the pentose sugar. The integration of in vivo and in silico metabolic flux analysis by (13) C and elementary modes identified bottlenecks in the pentose phosphate pathway and the tricarboxylic acid cycle that limited performance on xylose. By the integration of global transcriptome profiling, this could be specifically targeted to the tkt operon, genes that encode for fructose bisphosphatase (fbp) and isocitrate dehydrogenase (icd), and to genes involved in formation of lysine (lysE) and N-acetyl diaminopentane (act). This was used to create the C. glutamicum strain DAP-Xyl1 icd(GTG) Peftu fbp Psod tkt Δact ΔlysE. The novel producer, designated DAP-Xyl2, exhibited a 54% increase in product yield to 233 mmol mol(-1) and a 100% increase in productivity to 1 mmol g(-1) h(-1) on the xylose substrate. In a fed-batch process, the strain achieved 103 g L(-1) of diaminopentane from xylose with a product yield of 32%. Xylose utilization is currently one of the most relevant metabolic engineering subjects. In this regard, the current work is a milestone in industrial strain engineering of C. glutamicum. See accompanying commentary by Hiroshi Shimizu DOI: 10.1002/biot.201300097.",valid
6312763,"Rats of one or ten days of age were irradiated with low doses of gamma radiation, and synthesis of DNA was examined by the incorporation of 3H-thymidine in the cerebellum and the rest of the brain in vivo. DNA synthesis was depressed in both parts of the brain but the effects were larger in cerebellum. A minimum was found about 10 hours after irradiation in the older rats and later (18 h) in the younger ones. The dose response, in 10-day-old rats, was biphasic and showed that cerebellum was more affected. Autoradiographs showed that fewer cells entered the cycle and those synthesizing showed a depressed rate of synthesis. These findings are discussed in relation to induction of cell death.",valid
35146798,"PRAME (PReferentially expressed Antigen in MElanoma) is an antigen that shows marked overexpression in melanoma compared to normal skin melanocytes. PRAME immunohistochemistry has proven effective in distinguishing melanocytic nevi from melanoma, but it is unclear if it may be used to distinguish melanoma in situ from other benign pigmented lesions. In particular, differentiating from melanocytic hyperplasia in sun-damaged skin is sometimes clinically and histopathologically challenging. We hypothesized that PRAME staining of solar lentigo, sun-damaged skin, and melanoma in situ would aid in setting a threshold of positivity that could be useful in evaluating such conditions. We collected and stained typical examples of solar lentigo, melanoma in situ, and non-lesional sun-damaged skin by PRAME immunohistochemistry to assess a potential cutoff of PRAME positivity. Solar lentigo and non-lesional sun-damaged skin had 10 or fewer PRAME-positive cells per millimeter (mean 1.2), on the other hand melanoma in situ had at least 16 (mean 75.1). PRAME immunostaining appears sensitive and specific in the current series. This could be clinically useful for distinguishing melanoma in situ from benign melanocytic hyperplasia in sun-damaged skin. However, further studies are required to determine if 10 cells per millimeter is an acceptable threshold of positivity.",valid
8426849,"A sixfold difference in resistance to coccidia (Eimeria tenella) infection between a resistant and a susceptible line of Auburn White Leghorn chickens, derived by selective breeding, has been reported. The purpose of the following study was to determine whether the resistance or susceptibility phenomenon in the Auburn lines could be manifested in a homogeneous group of isolated host kidney cells that support E. tenella development in vitro but not normally in vivo. Propagation of the parasite in host cells in vitro eliminates humoral and cellular elements of immunity, and allows the study of host genetic influences at the cellular level. Differences in parasite development were examined between the two lines of cells in vitro after 48 and 96 h of incubation; time periods that reflect initial infection of the host cells by the parasite and the subsequent asexual development. Quantification of differences by liquid scintillation counting was based on parasite-specific incorporation of pyrimidines, specifically [3H]-uracil. The results supported previous findings that overall E. tenella development was significantly greater in the host cells from the susceptible line than in the cells from the resistant cultures at both time periods.",valid
3030995,"Prepuberal (P) gilts were induced to ovulate with pregnant mare serum gonadotropin followed 72 h later by human chorionic gonadotropin (hCG). Three P gilts and three mature (M) gilts each were ovariectomized on d 10, 14, 18, 22 and 26 (d 0 = day of hCG for P gilts and onset of estrus for M gilts). Gilts ovariectomized on d 14, 18, 22 and 26 were hysterectomized on d 6 to ensure maintenance of the corpora lutea (CL). Two to five grams of minced luteal tissue were dispersed using collagenase and hyaluronidase in HEPES buffered salt solution supplemented with glucose and bovine serum albumin. Dispersed cells were rinsed in Dulbecco's Modified Eagle Medium (DMEM), counted (ratio of large to total number of luteal cells determined) and then incubated for 1 h in DMEM. With aliquots standardized to 2.5 X 10(4) viable, large cells (greater than 25 micron diameter) were incubated in 1 ml DMEM for 2 h in the presence of either 10, 50, 100 or 1,000 ng luteinizing hormone (LH); .1, 1, 10 or 100 ng hCG; 10, 100 or 1,000 ng norepinephrine (NE) or either .75, or 1.5 mM dibutyrl cyclic adenosine monophosphate (dbcAMP). Progesterone (P4) in the medium was quantified by radioimmunoassay. Basal P4 production (no P4 stimulator added to the medium) on d 10, 14, 18, 22 and 26 for P gilts was 246 +/- 9, 66 +/- 4, 64 +/- 6, 41 +/- 3 and 69 +/- 6 ng/ml medium, respectively, and for M gilts was 281 +/- 12, 128 +/- 8, 53 +/- 4, 82 +/- 6, 101 +/- 5 ng/ml medium, respectively.(ABSTRACT TRUNCATED AT 250 WORDS)",valid
1769617,"The acquired immune deficiency syndrome (AIDS) epidemic is significantly affecting older people. Older people themselves may be HIV positive, or they may be the caregiving spouse, partner, parent, or grandparent of a person with AIDS. In addition, older people may share housing or institutional space with people with AIDS. Concerns about the allocation of long-term care resources may create conflict between the needs of older people and people with AIDS. Social workers are particularly suited to lead the discussion of the impact of AIDS on older people, a role the profession has not yet embraced. Four areas of social work leadership are discussed: education, direct service, research, and advocacy.",valid
12230624,"To examine purinergic relaxation responses in chronic renal failure (CRF) in an experimental rabbit model, and thus evaluate the possible involvement of the purinergic system in erectile dysfunction with CRF. The relaxant effects of ATP were measured in strips of corpus cavernosum smooth muscle taken from control and CRF rabbits. CRF was induced in New Zealand white rabbits as previously described. Penises were excised from CRF rabbits 4 weeks after inducing uraemia. In an organ bath the strips from controls and CRF rabbit corpus cavernosum were pre-contracted with phenylephrine and increasing doses of adenosine and ATP added. In the pre-contracted rabbit cavernosal tissue the relaxations induced by adenosine and ATP were unchanged in CRF. The lack of any relaxant effect of adenosine or ATP on the relaxation of cavernosal smooth muscle in rabbits with CRF might be because the relaxant effects of these agents are endothelium-independent and the endothelial purinergic receptor density was unchanged in CRF.",valid
32364395,"Ischemic heart disease, especially myocardial infarction (MI), is the leading cause of death worldwide. Apoptotic mechanisms are thought to play a significant role in cardiomyocyte death after MI. Increased production of heat shock proteins (Hsps) in cardiomyocytes is a normal response to promote tolerance and to reduce cell damage. Hsp27 is considered to be a therapeutic option for the treatment of ischemic heart disease due to its protective effects on hypoxia-induced apoptosis. Despite its antiapoptotic effects, the lack of strategies to deliver Hsp27 to the heart tissue in vivo limits its clinical applicability. In this study, we utilized an antibody against the angiotensin II type 1 (AT1) receptor, which is expressed immediately after ischemia/reperfusion in the heart of MI rats. To achieve cardiomyocyte-targeted Hsp27 delivery after ischemia/reperfusion, we employed the immunoglobulin-binding dimer ZZ, a modified domain of protein A, in conjunction with the AT1 receptor antibody. Using the AT1 receptor antibody, we achieved systemic delivery of ZZ-TAT-GFP fusion protein into the heart of MI rats. This approach enabled selective delivery of Hsp27 to cardiomyocytes, rescued cells from apoptosis, reduced the area of fibrosis, and improved cardiac function in the rat MI model, thus suggesting its applicability as a cardiomyocyte-targeted protein delivery system to inhibit apoptosis induced by ischemic injury.",valid
16969133,"When quiescent cells are stimulated to reenter the cell cycle, growth factors are required only until the restriction point in G(1) phase. After this point the cell no longer requires growth factors, proliferative signaling molecules, or even protein synthesis in order to initiate DNA synthesis, which starts several hours later. Consequently, understanding the molecular nature of the restriction point constitutes one of the major goals in studies of growth regulation. We recently demonstrated that p27Kip1 (p27) regulates passage through G(1) phase in actively proliferating cultures, and initiated these studies to determine if it is also involved in passage through the restriction point following stimulation of quiescent cells. In support of this suggestion, we found that passage through the restriction point requires mitogen-dependent suppression of the high p27 levels normally present in quiescent cells. Moreover, as the culture progresses to mid-G(1) phase, the proportion of cells that pass the restriction point is increased by artificial suppression of p27 levels, while this proportion is reduced by elevation of p27 levels. p27 performs this critical function by regulating the subsequent activating phosphorylation of cyclin dependent kinase (CDK)2, which we also show is necessary for and closely associated with the initiation of DNA synthesis. We conclude that the p27 expression level at mid-G(1) phase determines when a cell passes through the restriction point, and does so by regulating subsequent CDK2 activation.",valid
21291445,"The impact of the Fast Track intervention on externalizing disorders across childhood was examined. Eight hundred-ninety-one early-starting children (69% male; 51% African American) were randomly assigned by matched sets of schools to intervention or control conditions. The 10-year intervention addressed parent behavior-management, child social cognitive skills, reading, home visiting, mentoring, and classroom curricula. Outcomes included psychiatric diagnoses after grades 3, 6, 9, and 12 for conduct disorder, oppositional defiant disorder, attention deficit hyperactivity disorder, and any externalizing disorder. Significant interaction effects between intervention and initial risk level indicated that intervention prevented the lifetime prevalence of all diagnoses, but only among those at highest initial risk, suggesting that targeted intervention can prevent externalizing disorders to promote the raising of healthy children.",valid
18091194,"Several symptom screening instruments have been developed to identify trauma survivors at risk for chronic posttraumatic stress disorder, but few of these have been thoroughly evaluated to date. In this study, a range of symptom combination scoring rules derived from the literature were applied to the Posttraumatic Diagnostic Scale and evaluated in 4 different samples of trauma survivors (total N = 522) regarding their power to identify people with posttraumatic stress disorder. Results were replicated in a fifth sample (N = 253). Most scoring rules showed lower diagnostic efficiencies than in the original reports. The most stable results were obtained for cutoffs on the Posttraumatic Diagnostic Scale total scale and a new subset of 8 items. The results underscore the need to cross-validate findings before using screening instruments for clinical applications.",valid
19686060,"Survival and growth of cellular grafts in tissue engineering (TE) are limited by the rate of oxygen (O(2)) and nutrient diffusion. As such, monitoring the levels of nutrients and O(2) available to the cells is essential to assess the physiology of the cells and to evaluate strategies aiming at improving nutrient availability. In this article, a reporter system containing the luciferase gene driven by a hypoxia responsive promoter was used to monitor cellular hypoxia in a TE context. We report that luciferase activity correlates with the O(2) tension in the cell culture medium. When transgenic cells were seeded onto scaffolds and implanted in immune-deficient mice subcutaneously, luciferase activity was detected. To validate the response to O(2) levels of this reporter system, we cultured transgenic cells on biomaterials in a flow perfusion bioreactor and observed that cells in the bioreactor displayed a drastically lower luciferase activity than conventional static culture, and that higher luciferase activity is observed in the interior of a tissue-engineered construct, illustrating the uneven O(2) distribution in three-dimensional constructs under conventional static culture. We conclude that this reporter system is a versatile tool to investigate cellular O(2) availability in TE both in vitro and in vivo.",valid
30381699,"This study aimed to clarify the education systems for occupational health nursing (OHN) in the basic education course for public health nurses (PHNs) in Japanese nursing universities. An anonymous self-administered questionnaire survey was conducted among 234 nursing universities with PHN courses. We surveyed the outline of PHN/OHN curricula, clinical practicum in OHN, and the skill achievement levels of students in OHN clinical practicum according to the ""Minimum Requirements in PHNs Education 2004"" (MR2004) developed by the Japan Association of PHN Educational Institutions. The data were analyzed using a t-test and Mann-Whitney U test. All statistical analyses were carried out using IBM SPSS ver. 21.0. In the analysis, we used data from the 80 respondent schools (response rate 34.2%). In 39 schools (48.1%), lectures related to a clinical practicum in OHN were offered as independent subjects in the school curriculum; of these 39, two schools (2.5%) offered OHN as multiple independent subjects. In 49 schools (60.5%), clinical practicum in OHN was designated as a part of PHN training. In colleges that had a clinical practicum in OHN, the number of lecture hours related to OHN was 9.7 ± 11.6 hours, which was more than that in colleges without such a practicum, although the difference was not significant. We compared the skill achievement levels between the groups where the number of days in the OHN clinical practicum was up to two and up to three or more. There was a tendency for the skill achievement level to be higher in the group with the greater number of days, with a significant difference in 16 of 19 items. We clarified that the PHN curriculum is offered with many variations in colleges, and that the lectures and clinical practicum in OHN are developed according to each college's policy. We observed the following tendency: the more days in the OHN clinical practicum, the higher the student's skill achievement level. These findings suggest that guaranteeing a certain number of days in a clinical practicum in OHN is important for realizing high-quality PHN training.",valid
19348010,"Hirsutellin (HtA) is intermediate in size between other ribotoxins and less specific microbial RNases, and thus offers a unique chance to determine the minimal structural requirements for activities unique to ribotoxins. Here, we have determined the structure of HtA by NMR methods. The structure consists of one alpha-helix, a helical turn and seven beta-strands that form an N-terminal hairpin and an anti-parallel beta-sheet, with a characteristic alpha + beta fold and a highly positive charged surface. Compared to its larger homolog alpha-sarcin, the N-terminal hairpin is shorter and less positively charged. The secondary structure elements are connected by large loops with root mean square deviation (rmsd) values > 1 A, suggesting some degree of intrinsically dynamic behavior. The active site architecture of HtA is unique among ribotoxins. Compared to alpha-sarcin, HtA has an aspartate group, D40, replacing a tyrosine, and the aromatic ring of F126, located in the leucine 'environment' close to the catalytic H113 in a similar arrangement to that found in RNase T1. This unique active site structure is discussed in terms of its novel electrostatic interactions to understand the efficient cytotoxic activity of HtA. The contributions of the N-terminal hairpin, loop 2 and loop 5 with regard to protein functionality, protein-protein and protein-ipid interactions, are also discussed. The truncation and reduced charge of the N-terminal hairpin in HtA may be compensated for by the extension and new orientation of its loop 5. This novel orientation of loop 5 re-establishes a positive charge on the side of the molecule that has been shown to be important for intermolecular interactions in ribotoxins.",valid
15954811,"This study aimed to investigate a number of structural, cellular, and molecular responses to heliumneon (632.8 nm) laser irradiation following a single dose of 0.5, 2.5, 5, or 10 J/cm2 on normal and wounded human skin fibroblasts. Low-level laser therapy (LLLT) is a form of phototherapy, involving the application of low-power monochromatic and coherent light to injuries and lesions to stimulate healing. 1 This therapy has been successfully used for pain attenuation and to induce wound healing in nonhealing defects. Changes in normal and wounded fibroblast cell morphology were evaluated by light microscopy. Cellular parameters evaluated cell proliferation, cell viability, and cytotoxicity while molecular parameters assessed the extent of DNA damage. The results clearly demonstrate that LLLT has an effect on normal and wounded(3) human skin fibroblasts. The parameters showed that doses of 0.5, 2.5, 5, and 10 J/cm2 were sufficient to produce measurable changes in fibroblast cells. A dose of 10 J/cm2 appeared to produce a significant amount of cellular and molecular damage, which could be an important consideration for other therapies, such as photodynamic therapy.",valid
25159149,"Cdc15p is known to contribute to cytokinesis in fission yeast; however, the protein is not required to assemble the contractile ring of actin and myosin, but it helps to anchor the ring to the plasma membrane. Cdc15p has a lipid-binding F-BAR domain, suggesting that it provides a physical link between the plasma membrane and contractile ring proteins. However, we find that a more important function of Cdc15p during cytokinesis is to help deliver a transmembrane enzyme, Bgs1p (also called Cps1p), from the Golgi apparatus to the plasma membrane, where it appears to anchor the contractile ring. Bgs1p synthesizes the cell wall in the cleavage furrow, but its enzyme activity is not required to anchor the contractile ring. We estimate that ∼ 2,000 Bgs1p molecules are required to anchor the ring. Without Bgs1p anchors, contractile rings slide along the plasma membrane, a phenomenon that depends on an unconventional type II myosin called Myp2p.",valid
36846486,"Atmospheric pollutant data retrieved through satellite sensors are continually used to assess changes in air quality in the lower atmosphere. During the COVID-19 pandemic, several studies started to use satellite measurements to evaluate changes in air quality in many different regions worldwide. However, although satellite data is continuously validated, it is known that its accuracy may vary between monitored areas, requiring regionalized quality assessments. Thus, this study aimed to evaluate whether satellites could measure changes in the air quality of the state of São Paulo, Brazil, during the COVID-19 outbreak; and to verify the relationship between satellite-based data [Tropospheric NO",valid
