pmid,pub_year,journal,publication_types,mesh_terms
23125933,2012,Journal of skin cancer,Journal Article,
7064087,1982,"Surgery, gynecology & obstetrics",Comparative Study; Journal Article,Adolescent; Adult; Aged; Child; False Negative Reactions; False Positive Reactions; Female; Hodgkin Disease; Humans; Laparotomy; Lymphatic Metastasis; Male; Middle Aged; Neoplasm Staging
30966137,2018,Polymers,Journal Article,
23866742,2013,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],Journal Article,Beverages; Child; China; Diet Surveys; Drinking; Drinking Water; Feeding Behavior; Female; Humans; Male; Students; Urban Population
33395071,2020,Chinese medical journal,Journal Article,"Caspase 1; Female; Humans; Infant, Newborn; Inflammasomes; Interleukin-1beta; NLR Family, Pyrin Domain-Containing 3 Protein; NLR Proteins; Pregnancy; Premature Birth; Risk Assessment"
19018219,2008,Nursing research,"Journal Article; Research Support, N.I.H., Extramural; Review","Analysis of Variance; Bias; Causality; Confounding Factors, Epidemiologic; Data Interpretation, Statistical; Discriminant Analysis; Humans; Length of Stay; Nursing Evaluation Research; Outcome Assessment, Health Care; Pain; Regression Analysis; Research Design"
8763217,1996,American journal of medical quality : the official journal of the American College of Medical Quality,Journal Article,Case Management; Female; Hospitals; Humans; Israel; Length of Stay; Male; Middle Aged; Observer Variation; Reproducibility of Results; Severity of Illness Index; Utilization Review
21960649,2011,Cephalalgia : an international journal of headache,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Comorbidity; Female; Headache Disorders, Primary; Humans; Male; Mastocytosis; Middle Aged; Minnesota; Prevalence; Risk Assessment; Risk Factors; Syndrome"
9569945,1997,Chemosphere,Journal Article,"Acetic Acid; Animals; Bacteria; Biodegradation, Environmental; Chelating Agents; Daphnia; Eukaryota; Luminescent Measurements; Sewage; Toxicity Tests; Waste Management; Water Pollutants, Chemical; beta-Alanine"
18817979,2008,Journal of reproductive immunology,"Journal Article; Research Support, Non-U.S. Gov't","CD56 Antigen; Cell Line, Tumor; Chorion; Decidua; Female; Humans; Immunohistochemistry; Pregnancy; Pregnancy Proteins; RNA, Messenger; Suppressor Factors, Immunologic; Trophoblasts"
1593822,1992,Kyobu geka. The Japanese journal of thoracic surgery,Case Reports; English Abstract; Journal Article,"Aged; Anastomosis, Surgical; Aorta; Cardioplegic Solutions; Coronary Artery Bypass; Coronary Disease; Female; Humans; Injections, Intra-Arterial; Intraoperative Complications"
23242495,2013,Biotechnology letters,"Journal Article; Research Support, Non-U.S. Gov't; Validation Study",Acetic Acid; Biotechnology; Culture Media; Glucose; Spectrum Analysis; Starch; Streptomyces
22773276,2012,Current treatment options in oncology,"Journal Article; Research Support, N.I.H., Extramural; Review","Antineoplastic Agents; Embolization, Therapeutic; Humans; Injections, Intra-Arterial; Liver Neoplasms; Radioisotopes"
11670768,1998,Inorganic chemistry,Journal Article,
8979206,1996,The Journal of reproductive medicine,Case Reports; Journal Article,"Adult; Cystostomy; Endometriosis; Endoscopy; Female; Humans; Hysterectomy, Vaginal; Laparoscopy; Leiomyoma; Peritoneal Cavity; Urinary Bladder"
33398678,2021,Molecular biology reports,Journal Article,"Cell Line, Tumor; Cell Movement; Cell Proliferation; Chemokine CCL2; Chemokine CXCL12; Colorectal Neoplasms; Gene Expression Regulation, Neoplastic; HCT116 Cells; Humans; Inflammation; Interleukin-33; MicroRNAs; Sesquiterpenes; Transforming Growth Factor beta"
34694239,2021,Annali italiani di chirurgia,Case Reports; Journal Article,Humans; Intestinal Perforation; Intestines; Male; Percutaneous Coronary Intervention; Pneumatosis Cystoides Intestinalis; Sepsis
6179281,1982,Ultrastructural pathology,Journal Article,"Adolescent; Bone and Bones; Child; Child, Preschool; Ear Canal; Female; Gingiva; Histiocytosis, Langerhans-Cell; Humans; Infant; Lymph Nodes; Male; Microscopy, Electron; Skin; Staining and Labeling"
8522250,1995,Gynecologic oncology,Case Reports; Journal Article; Review,Aged; Female; Humans; Leiomyosarcoma; Middle Aged; Neoplasm Metastasis; Prognosis; Retroperitoneal Neoplasms; Treatment Outcome
25119095,2014,Ciencia & saude coletiva,English Abstract; Journal Article,Brazil; Family Health; Humans; Mental Disorders; Mental Health Services; Primary Health Care
15338072,2004,Inflammation research : official journal of the European Histamine Research Society ... [et al.],"Journal Article; Research Support, Non-U.S. Gov't",Aged; Algorithms; Computer Simulation; Female; Humans; Male; Neoplasms; Palliative Care; Patients; Physicians; Quality of Life; Randomized Controlled Trials as Topic; Software; Surveys and Questionnaires; Treatment Outcome
2610250,1989,The American journal of physiology,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.","Animals; Body Fluids; Butyrates; Butyric Acid; Chlorides; Electron Probe Microanalysis; Female; Hypertonic Solutions; In Vitro Techniques; Intracellular Fluid; Kidney Tubules, Proximal; Kinetics; Models, Biological; Ouabain; Potassium; Rabbits; Sodium; Time Factors"
34851508,2022,Reviews in endocrine & metabolic disorders,"Journal Article; Review; Research Support, Non-U.S. Gov't",Bariatric Surgery; Brain; Eating; Feeding Behavior; Feeding and Eating Disorders; Humans; Obesity; Weight Loss
33212806,2020,"Materials (Basel, Switzerland)",Journal Article,
3103868,1987,Brain research,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.","Animals; Animals, Newborn; Carbonic Anhydrases; Cell Division; Cell Survival; Hydrogen-Ion Concentration; Myelin Sheath; Oligodendroglia; Optic Nerve; Rats; Rats, Inbred Strains"
8624195,1996,"Archives of surgery (Chicago, Ill. : 1960)",Journal Article,"Adenomatous Polyposis Coli; Adolescent; Adult; Aged; Anti-Infective Agents; Ciprofloxacin; Colitis, Ulcerative; Female; Humans; Ileal Diseases; Inflammation; Male; Metronidazole; Postoperative Complications; Proctocolectomy, Restorative; Prospective Studies; Time Factors"
3477756,1987,"Oral surgery, oral medicine, and oral pathology",Journal Article,Biophysical Phenomena; Biophysics; Blood Vessels; Bone and Bones; Fibrosis; Humans; Hyperbaric Oxygenation; Mandibular Diseases; Osteoradionecrosis; Oxygen Consumption; Radiation Injuries; Radiotherapy; Risk Factors; Time Factors; Wound Healing
10082061,1999,Substance use & misuse,Journal Article,"Adult; Alcoholism; Anxiety Disorders; Depressive Disorder; Follow-Up Studies; Humans; Male; Middle Aged; Recurrence; Severity of Illness Index; Sleep, REM; Surveys and Questionnaires; Temperance"
17029026,2006,Journal of abnormal child psychology,"Journal Article; Research Support, Non-U.S. Gov't",Analysis of Variance; Attention; Attention Deficit Disorder with Hyperactivity; Case-Control Studies; Child; Comorbidity; Dyslexia; Female; Humans; Linear Models; Male; Motor Skills Disorders; Prevalence; United Kingdom
30536476,2019,Journal of leukocyte biology,"Journal Article; Research Support, N.I.H., Extramural","Animals; Animals, Newborn; CTLA-4 Antigen; Cell Proliferation; Cell Survival; Forkhead Transcription Factors; Interferon-gamma; Mice, Inbred C57BL; Orthomyxoviridae Infections; Platelet Endothelial Cell Adhesion Molecule-1; Programmed Cell Death 1 Receptor; T-Lymphocytes, Cytotoxic; Transcription Factors; Transcription, Genetic"
32256164,2020,Saudi journal of biological sciences,Journal Article,
596550,1977,American journal of surgery,Case Reports; Journal Article,"Adult; Blood Transfusion; Female; Hematoma; Humans; Infant, Newborn; Liver Diseases; Necrosis; Pre-Eclampsia; Pregnancy; Pregnancy Complications; Rupture, Spontaneous"
26176335,2015,Inorganic chemistry,Journal Article,
14609247,2003,Schizophrenia bulletin,Journal Article,Affect; Antipsychotic Agents; Chronic Disease; Diagnostic and Statistical Manual of Mental Disorders; Drug Synergism; Female; Fluvoxamine; Humans; Male; Schizophrenia; Selective Serotonin Reuptake Inhibitors
12707855,2003,Journal of neurovirology,Journal Article; Review,"Animals; Encephalitis, Viral; Humans; Measles; Measles virus; Virulence"
17070850,2007,Journal of theoretical biology,"Journal Article; Research Support, Non-U.S. Gov't","Adaptation, Physiological; Animals; Aphids; Biological Evolution; Food; Light; Mathematics; Models, Biological; Nitrogen; Pigmentation; Plant Leaves; Plant Physiological Phenomena; Seasons; Trees"
18606733,2008,Journal of bacteriology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Aminoacyltransferases; Bacterial Proteins; Cell Wall; Cysteine Endopeptidases; Fimbriae Proteins; Fimbriae, Bacterial; Immunoblotting; Mutation; Protein Binding; Streptococcus pneumoniae; Trans-Activators"
26736519,2015,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Journal Article,"Brain Ischemia; Fibrinolytic Agents; Humans; Spectrum Analysis, Raman; Stroke; Thrombolytic Therapy; Urokinase-Type Plasminogen Activator"
10049547,1999,Journal of colloid and interface science,Journal Article,
6595672,1984,Proceedings of the National Academy of Sciences of the United States of America,Journal Article,"Adrenal Glands; Animals; Denervation; Enkephalins; Male; Molecular Weight; Peptide Fragments; Protein Precursors; Rats; Rats, Inbred Strains; Splanchnic Nerves"
5387026,1969,The Journal of physiology,Journal Article,Action Potentials; Animals; Extracellular Space; Ganglia; Leeches; Membrane Potentials; Neuroglia; Neurons; Potassium
7556626,1995,FEBS letters,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Adenocarcinoma; Base Sequence; Colitis, Ulcerative; Crohn Disease; Electrophoresis, Gel, Two-Dimensional; Humans; Intestinal Neoplasms; Molecular Sequence Data; Nucleic Acid Conformation; RNA; RNA, Ribosomal, 28S; RNA, Ribosomal, 5.8S"
7849187,1994,Biology of reproduction,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Actins; Animals; Cell Communication; Cell Cycle; Cells, Cultured; Chorionic Gonadotropin; Cricetinae; Cytoskeleton; Female; Follicle Stimulating Hormone; Gonadotropins; Image Processing, Computer-Assisted; Luteinizing Hormone; Meiosis; Mesocricetus; Microscopy, Confocal; Microscopy, Fluorescence; Oocytes; Oogenesis; Ovarian Follicle; Tubulin"
35316674,2022,European journal of radiology,Journal Article,"Carcinoma, Pancreatic Ductal; Diagnosis, Differential; Diffusion Magnetic Resonance Imaging; Humans; Motion; Neuroectodermal Tumors, Primitive; Neuroendocrine Tumors; Pancreatic Neoplasms; Retrospective Studies"
22381385,2012,Epilepsy & behavior : E&B,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Aged; Aged, 80 and over; Antiemetics; Cohort Studies; Costs and Cost Analysis; Cross-Sectional Studies; Delivery of Health Care; Electroencephalography; Epilepsy; Female; Germany; Health Care Costs; Hospitalization; Humans; Male; Middle Aged; Surveys and Questionnaires; Video Recording; Young Adult"
24699539,2014,American journal of botany,"Journal Article; Research Support, Non-U.S. Gov't","Calcium Sulfate; DNA, Chloroplast; DNA, Intergenic; Ecosystem; Evolution, Molecular; Genetic Variation; Haplotypes; Magnoliopsida; Mexico; Molecular Sequence Data; Phylogeny; Phylogeography; Polymerase Chain Reaction; Seed Dispersal; Sequence Analysis, DNA; Soil"
17041668,2006,Optics letters,Journal Article,
21837316,2011,"Dalton transactions (Cambridge, England : 2003)",Journal Article,
25186139,2015,Natural product research,"Journal Article; Research Support, Non-U.S. Gov't; Review","Alkaloids; Animals; Ethnobotany; Humans; Molecular Structure; Plant Extracts; Plant Tubers; Plants, Medicinal; Stephania"
37883119,2023,Journal of clinical ultrasound : JCU,Journal Article,"Humans; Heart Ventricles; Ventricular Function, Left; Mitral Valve; Pulmonary Disease, Chronic Obstructive; Lung; Ventricular Dysfunction, Left"
576388,1977,Archiv fur Gynakologie,English Abstract; Journal Article,"Breast Neoplasms; Diagnosis, Differential; Epithelial Cells; Female; Humans; Lymph Node Excision; Lymph Nodes; Lymphatic Metastasis"
11997037,2002,FEBS letters,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Adenocarcinoma; Cell Division; Cyclic AMP; Dinoprostone; Dose-Response Relationship, Drug; Humans; Lung Neoplasms; Mitogen-Activated Protein Kinase Kinases; Mitogen-Activated Protein Kinases; Proto-Oncogene Proteins p21(ras); Pulmonary Alveoli; Receptors, Prostaglandin E; Receptors, Prostaglandin E, EP3 Subtype; Signal Transduction; Tumor Cells, Cultured; Virulence Factors, Bordetella"
15197058,2004,"Archives of ophthalmology (Chicago, Ill. : 1960)",Journal Article,"Adolescent; Adult; Arthritis, Juvenile; Child; Child, Preschool; Chronic Disease; Glaucoma; Gonioscopy; Humans; Intraocular Pressure; Ophthalmologic Surgical Procedures; Retrospective Studies; Safety; Trabecular Meshwork; Treatment Outcome; Uveitis"
25597810,2015,"Dalton transactions (Cambridge, England : 2003)",Journal Article,
3894060,1985,Folia biologica,Journal Article,"Animals; Antibodies, Monoclonal; Antibodies, Neoplasm; Antibody Specificity; Breast Neoplasms; Carcinoma, Transitional Cell; Cell Line; Fluorescent Antibody Technique; Humans; Iodine Radioisotopes; Mice; Mice, Nude; Neoplasm Transplantation; Radionuclide Imaging; Tissue Distribution; Urinary Bladder Neoplasms"
17324770,2007,Journal of the American College of Surgeons,Journal Article,"Adolescent; Adult; Aged; Aged, 80 and over; Breast Neoplasms; Child; Disease-Free Survival; Female; Follow-Up Studies; Hepatectomy; Humans; Liver Neoplasms; Male; Melanoma; Middle Aged; Retrospective Studies; Sarcoma; Survival Rate; Treatment Outcome; Urogenital Neoplasms"
10100590,1999,Cancer chemotherapy and pharmacology,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Antineoplastic Agents; Brain; Camptothecin; Extracellular Space; Injections, Intravenous; Male; Microdialysis; Rats; Rats, Wistar; Tissue Distribution; Topotecan"
16329926,2005,FEMS microbiology ecology,Journal Article; Review,"Adaptation, Biological; Arctic Regions; Biological Evolution; Fungi; Mycorrhizae; Plant Physiological Phenomena; Symbiosis"
2121500,1990,European journal of clinical investigation,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","2,3-Diphosphoglycerate; Adult; Ascorbic Acid; Diphosphoglyceric Acids; Erythrocytes; Forearm; Humans; Ischemia; Lactates; Lactic Acid; Male; Middle Aged; Oxalates; Oxalic Acid; Peritoneal Dialysis, Continuous Ambulatory; Physical Exertion; Renal Dialysis; Uremia"
37879469,2024,The Science of the total environment,Journal Article,
15848341,2005,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Case Reports; Journal Article,Aorta; Aortic Aneurysm; Blood Vessel Prosthesis; Blood Vessel Prosthesis Implantation; Female; Humans; Magnetic Resonance Imaging; Male; Marfan Syndrome; Middle Aged; Polyethylene Terephthalates; Prosthesis Design; Replantation; Sinus of Valsalva; Suture Techniques
16169584,2006,Journal of adolescence,"Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Brain Concussion; Child; Cognition; Feedback; Health Promotion; Hockey; Humans; Learning; Male; Surveys and Questionnaires; Video Games; Visual Perception
31494521,2020,Meat science,Journal Article,Animals; Ascorbic Acid; Bacteriocins; Cattle; Cooking; Dimethylnitrosamine; Food Microbiology; Hot Temperature; Inositol Phosphates; Lactobacillus plantarum; Meat Products; Nitrites; Red Meat; Staphylococcus
2514280,1989,Journal of tropical pediatrics,Journal Article,"Child, Preschool; Diarrhea, Infantile; Female; Fluid Therapy; Food, Formulated; Humans; Infant; Infant, Newborn; Lactose Intolerance; Male; Protein-Energy Malnutrition; Senegal"
33423832,2021,"Environmental pollution (Barking, Essex : 1987)",Journal Article,"Asia; Environmental Monitoring; Indian Ocean; Microplastics; Plastics; Rivers; Water; Water Pollutants, Chemical"
35037945,2022,The American journal of occupational therapy : official publication of the American Occupational Therapy Association,Journal Article,Cost-Benefit Analysis; Health Services Research; Humans; Occupational Therapy
35975077,2022,RSC advances,Journal Article,
1565242,1992,Neurology,"Journal Article; Research Support, U.S. Gov't, P.H.S.",Adult; Disability Evaluation; Female; Humans; Male; Multiple Sclerosis; Observer Variation
19323580,2009,Journal of the American Chemical Society,"Journal Article; Research Support, N.I.H., Extramural",Cyclopropanes; Indicators and Reagents; Organic Chemistry Phenomena; Organometallic Compounds; Zinc
228420,,La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris,Case Reports; English Abstract; Journal Article,"Adolescent; Biopsy; Child; Dwarfism; Female; Glutens; Growth Hormone; Humans; Insulin; Intestine, Small"
38534130,2024,Natural product research,Journal Article,
7584927,1995,Hypertension research : official journal of the Japanese Society of Hypertension,"Journal Article; Research Support, U.S. Gov't, P.H.S.; Review","Adult; Aged; Aged, 80 and over; Cardiovascular Diseases; Female; Humans; Hypertension; Male; Middle Aged; Randomized Controlled Trials as Topic; Risk Factors"
23525533,2013,Journal of dental research,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't","Adolescent; Adult; Amelogenin; Child; Child, Preschool; DMF Index; Dental Caries; Dental Caries Susceptibility; Dental Plaque Index; Female; Genetic Predisposition to Disease; Humans; Male; Polymorphism, Single Nucleotide; Young Adult"
24614084,2014,Fungal genetics and biology : FG & B,Journal Article,Animals; Aspergillosis; Aspergillus fumigatus; Cell Wall; Fungal Proteins; Gene Knockout Techniques; Humans; Keratitis; Male; Mice; Mutation; Neutrophils; Oxidative Stress; Phosphoprotein Phosphatases; Reactive Oxygen Species; Virulence
27562754,2017,Integrative cancer therapies,Journal Article,Animals; Anti-Inflammatory Agents; Benzopyrenes; Cyclooxygenase 2; Cytokines; DNA-Binding Proteins; Down-Regulation; Inflammation; Interleukin-1beta; Interleukin-6; Lung; Male; Mice; MicroRNAs; NF-kappa B; Phyllanthus emblica; Plant Extracts; Precancerous Conditions; RNA-Binding Proteins; Signal Transduction; Tumor Necrosis Factor-alpha
22157895,2011,EMBO reports,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Cells, Cultured; Cellular Senescence; DNA Damage; Humans; Telomere; Telomere Homeostasis"
9235237,1994,Problemy sotsial'noi gigieny i istoriia meditsiny,English Abstract; Journal Article,Persons with Disabilities; Family; Health Status; Humans; Quality of Life; Russia
9412797,1997,European urology,Journal Article,"Adenocarcinoma; Cell Differentiation; Humans; Immunohistochemistry; Ki-67 Antigen; Lymphocytes, Tumor-Infiltrating; Male; Multivariate Analysis; Neoplasm Staging; Prognosis; Prostatic Neoplasms; Survival Analysis"
35562885,2022,International journal of molecular sciences,Journal Article; Review; Systematic Review,"Depression; Depressive Disorder, Major; Gastrointestinal Microbiome; Humans; Prebiotics; Probiotics; Synbiotics"
25244176,2014,Dermatology online journal,Case Reports; Journal Article,Adult; Anti-Bacterial Agents; Axilla; Corynebacterium Infections; Dermoscopy; Erythromycin; Humans; Hyperhidrosis; Male; Odorants
23503673,2013,International journal of molecular medicine,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Apoptosis; Avoidance Learning; BH3 Interacting Domain Death Agonist Protein; Brain-Derived Neurotrophic Factor; CA1 Region, Hippocampal; Caspase 3; Cerebral Hemorrhage; DNA Fragmentation; Dexmedetomidine; In Situ Nick-End Labeling; Maze Learning; Memory Disorders; Memory, Short-Term; Proto-Oncogene Proteins c-bcl-2; Rats; Rats, Sprague-Dawley; Receptor, trkB; bcl-2-Associated X Protein"
38483582,2024,World journal of urology,Journal Article,Humans; Urology; Artificial Intelligence; Kidney Calculi; Urologists; Learning
16837916,2006,Kidney international,"Clinical Trial; Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Adult; Circadian Rhythm; Cognition; Cognition Disorders; Female; Hemodialysis, Home; Humans; Learning; Male; Memory; Pilot Projects; Prospective Studies; Psychometrics; Psychomotor Performance; Uremia"
792485,1976,JAMA,Journal Article,"Achievement; Adolescent; Child; Depression; Educational Measurement; Family; Hemodialysis, Home; Humans; Interview, Psychological; MMPI; Projective Techniques; Psychology, Child; Psychomotor Disorders; Socialization; Stress, Psychological"
27536601,2015,Hip & pelvis,Case Reports; Journal Article,
19729464,2010,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association","Journal Article; Research Support, Non-U.S. Gov't","Adult; Aged; Angina Pectoris; Angioplasty, Balloon, Coronary; Antigens, CD34; Arginine; Biomarkers; Cell Count; Endothelial Cells; Follow-Up Studies; Glomerular Filtration Rate; Humans; Kidney; Leukocytes; Male; Middle Aged; Multivariate Analysis; Stem Cells"
35734776,2022,Computational and mathematical methods in medicine,Journal Article,"Aged; Dyspnea; Humans; Lung; Pulmonary Disease, Chronic Obstructive; Quality of Life; X-Rays"
27618802,2017,Pediatric blood & cancer,Case Reports; Journal Article; Review,"Adolescent; Adult; Anemia, Sickle Cell; Child; Child, Preschool; Hematoma, Epidural, Cranial; Humans; Infant; Infant, Newborn; Male; Neurosurgical Procedures; Prognosis; Survival Rate; Young Adult"
16389900,2005,Neuro-Chirurgie,Comparative Study; English Abstract; Journal Article; Review,"Brain; Brain Neoplasms; Chromosomes, Human, Pair 3; DNA Methylation; DNA, Neoplasm; Gene Expression Regulation, Neoplastic; Glioma; Humans; Immunohistochemistry; Loss of Heterozygosity; Promoter Regions, Genetic; Receptors, Retinoic Acid; Reference Values"
21536433,2011,Bioorganic & medicinal chemistry letters,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Antinematodal Agents; Bridged Bicyclo Compounds, Heterocyclic; Cell Line; Cell Line, Tumor; Drug Design; Haemonchus; Humans; Molecular Structure; Neoplasms"
18948645,2008,The Journal of the American Osteopathic Association,Case Reports; Journal Article,Acyclovir; Antiviral Agents; Female; Herpes Zoster Ophthalmicus; Humans; Middle Aged; Ophthalmoplegia; Pupil; Valacyclovir; Valine
37729569,2024,IEEE transactions on neural networks and learning systems,Journal Article,
11616305,1996,Journal of medical biography,Biography; Historical Article; Journal Article; Portrait,"Blood Transfusion; History, 20th Century; Politics; Russia; Science"
25496442,2015,Geriatrics & gerontology international,"Journal Article; Research Support, Non-U.S. Gov't","Activities of Daily Living; Aged, 80 and over; Body Mass Index; China; Cross-Sectional Studies; Persons with Disabilities; Female; Humans; Male; Obesity; Odds Ratio; Prevalence; Self Report; Waist Circumference"
36296592,2022,"Molecules (Basel, Switzerland)",Journal Article,Wine; Polyphenols; Principal Component Analysis; Spain; Vitis; Tannins; Fermentation; Color
26971726,2016,Technology and culture,Journal Article,
35231966,2022,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,Journal Article,Arousal; Electroencephalography; Emotions; Humans; Motion Pictures; Virtual Reality
16451175,2006,FEMS microbiology letters,Journal Article,"Animals; Anti-Bacterial Agents; Bacterial Proteins; Carbon-Oxygen Ligases; Conjugation, Genetic; Enterococcus faecalis; Enterococcus faecium; Feces; Gene Transfer, Horizontal; Germ-Free Life; Humans; Intestines; Mice; Microbial Sensitivity Tests"
17692213,2007,Enfermedades infecciosas y microbiologia clinica,"Consensus Development Conference; English Abstract; Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't","Anti-Bacterial Agents; Bacteremia; Catheterization; Central Nervous System Infections; Community-Acquired Infections; Critical Care; Cross Infection; Drug Resistance, Multiple, Bacterial; Endocarditis, Bacterial; Evidence-Based Medicine; Gram-Positive Bacterial Infections; Gram-Positive Cocci; Humans; Pneumonia, Bacterial; Soft Tissue Infections"
32339372,2021,Arthritis care & research,"Journal Article; Research Support, Non-U.S. Gov't","Academic Performance; Adolescent; Adolescent Development; Adult; Age Factors; Arthritis, Rheumatoid; Case-Control Studies; Child; Child Development; Cognition; Denmark; Female; Humans; Male; Maternal Health; Mathematical Concepts; Pregnancy; Prenatal Exposure Delayed Effects; Reading; Risk Assessment; Risk Factors"
10440812,1999,Journal of medical virology,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Adult; Antigens, Viral; Chickenpox; DNA Transposable Elements; Herpes Zoster; Herpesvirus 3, Human; Humans; Lymphocyte Activation; Middle Aged; T-Lymphocytes; Vaccines, Synthetic; Viral Envelope Proteins; Viral Proteins; Virion; Virus Assembly; Yeasts"
25183933,2014,Ethiopian journal of health sciences,Journal Article,"Adult; Age Factors; Aged; Analysis of Variance; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Health Literacy; Humans; India; Male; Middle Aged; Mouth Diseases; Oral Health; Sex Factors; Surveys and Questionnaires; Tooth Diseases; Young Adult"
31330697,2019,Physical review. E,Journal Article,
37427344,2023,Oncology letters,Journal Article; Review,
2848717,1988,FEBS letters,"Journal Article; Research Support, Non-U.S. Gov't","Carcinoma, Hepatocellular; Cell Line; Culture Media; Cytochrome P-450 Enzyme System; Glucuronosyltransferase; Glutathione; Glutathione Transferase; Humans; Kinetics; Liver Neoplasms; Mixed Function Oxygenases"
21616456,2011,The Lancet. Infectious diseases,Journal Article; Review,Bacterial Vaccines; Global Health; Humans; Leprostatic Agents; Leprosy; Mycobacterium leprae
27760039,2016,Polish journal of veterinary sciences,Journal Article,"Animals; Cell Proliferation; Cytokines; Gene Expression Regulation; Lymphocytes; Macrophages, Alveolar; Neuropeptides; Receptors, Neurotransmitter; Spleen; Swine"
164545,1975,Journal of reproduction and fertility,Journal Article,"Age Factors; Animals; Bucladesine; Chorionic Gonadotropin; Follicle Stimulating Hormone; Injections, Subcutaneous; Liver; Lysine; Male; Mice; Organ Size; Protein Biosynthesis; Stimulation, Chemical; Testis; Theophylline"
2698854,1989,Genome,Journal Article; Review,"Animal Husbandry; Animals; Blastocyst; Breeding; Cattle; Cloning, Molecular; Embryo Transfer; Female; Genetic Engineering; Nuclear Transfer Techniques; Pregnancy; Sheep"
14504849,2003,European journal of clinical pharmacology,"Clinical Trial; Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Adult; Antihypertensive Agents; Aryl Hydrocarbon Hydroxylases; Blood Pressure; Cytochrome P-450 CYP2C9; Female; Genotype; Heart Rate; Humans; Imidazoles; Japan; Losartan; Male; Tetrazoles
7666262,1995,The Journal of nutrition,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Body Weight; Eating; Lipase; Lipoprotein Lipase; Lipoproteins, VLDL; Liver; Male; Protein-Energy Malnutrition; Random Allocation; Rats"
24140074,2014,The Canadian journal of cardiology,Comparative Study; Journal Article,Aged; Coronary Artery Disease; Cross-Sectional Studies; Female; Follow-Up Studies; Humans; Male; Middle Aged; Ontario; Percutaneous Coronary Intervention; Postoperative Period; Prevalence; Prognosis; Prospective Studies; Risk Assessment; Risk Factors; Sleep Wake Disorders; Time Factors
25681584,2016,Journal of molecular and cellular cardiology,"Journal Article; Research Support, N.I.H., Extramural","Adenosine Diphosphate; Adenosine Triphosphate; Algorithms; Animals; Cats; Heart; Kinetics; Mice; Models, Biological; Myocardial Contraction; Myocardium; Rats; Sarcomeres"
33877001,2021,GM crops & food,Journal Article,"Cytochrome P-450 Enzyme System; DNA Methylation; Gene Expression Profiling; Gene Expression Regulation, Plant; Oryza; Phylogeny; Plant Growth Regulators; Plant Proteins; Stress, Physiological"
30693587,2019,Journal of veterinary internal medicine,Journal Article,"Adjuvants, Immunologic; Animals; Cells, Cultured; Concanavalin A; Female; Horses; Leukocytes, Mononuclear; Levamisole; Male; Mitogens; Prospective Studies; Up-Regulation"
9494536,1997,Anticancer research,Journal Article,"Adult; Aged; Antineoplastic Agents; Antioxidants; Ascorbic Acid; Benzylidene Compounds; Chelating Agents; Copper; Dehydroascorbic Acid; Female; Fetal Blood; Free Radicals; Humans; Immunoglobulin G; Infant, Newborn; Iron; Male; Middle Aged; Serum Albumin"
34962716,2022,Biotechnology progress,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Animals; Antibodies, Monoclonal; CHO Cells; Cell Culture Techniques; Cricetinae; Cricetulus; Disulfides"
